Item ID,Item,Description,Item Sales Rep,DNR Activity Code,Item Vendor,Last Date Sold,Total Inventory on Hand, Preferred Vendor,Last Date Purchased, Buyer Name,Preferred Vendor Price,Extended Cost 
117451,569038D,E84700-00 MOTOMOP F/DEMO   EA CLEANING MACHINE  S/O,N/A,N Stock Active,E84700-00,N/A,1,1065 BETCO CORPORATION,N/A,Noel Marucut,1079.4,1079.40
110493,573438,3364707 CREW RESTROOM/SURFACE 2/1.5LTR RTD N/A DISINFCT S/O,N/A,O Non Stock Inactive,3364707,N/A,3,10781 DIVERSEY INC,N/A,Noel Marucut,34.34,103.02
125674,573443,93515034 PRE-SPRAY PLUS RTD 2/1.5LTR,N/A,O Non Stock Inactive,93515034,N/A,2,10781 DIVERSEY INC,N/A,Noel Marucut,65.61,131.22
108247,593034,4485501 SUMA DRAIN MAINTAINER 4/1GAL GTS1,N/A,O Non Stock Inactive,4485501,N/A,12,10781 DIVERSEY INC,N/A,Noel Marucut,101.91,1222.92
85471,720922,10.5X9-5/8X.75 FOAM BLOCKEPS 1.0# NOMINAL 250/CS,N/A,O Non Stock Inactive,0,N/A,1,8290 ORLANDO PRODUCTS INC.,N/A,Noel Marucut,190.24,190.24
117462,755885U1,IPC CT70 USED,N/A,O Non Stock Inactive,CT70,N/A,1,2800 IPC EAGLE,N/A,Noel Marucut,N/A,0.00
117531,755886U,TENNANT B7 BURNISHER USED,N/A,O Non Stock Inactive,B7,N/A,1,11649 TENNANT,N/A,Noel Marucut,N/A,0.00
121937,801677,PARLOUR VICTORIA ROUND COASTER 2500  4",N/A,O Non Stock Inactive,PARLOUR VICTORIA,03/05/2024,3,SONOCO PRODUCTS COMPANY,N/A,Noel Marucut,345.27,1035.81
117514,880081U1,56601626 ADVENGER X2805D DISC USED NO BATTERIES,N/A,O Non Stock Inactive,56601626,N/A,1,NILFISK INC,N/A,Noel Marucut,N/A,0.00
117515,880081U2,56601626 ADVENGER X2805D DISC USED NO BATTERIES,N/A,O Non Stock Inactive,56601626,N/A,1,NILFISK INC,N/A,Noel Marucut,N/A,0.00
126396,880165D,SENSOR BP 12 UPRIGHT VAC DEMO 1.012-901.0 10129010,N/A,N Stock Active,1.012-901.0,N/A,1,13289 KARCHER NORTH AMERICA,N/A,Noel Marucut,696.57,696.57
104615,882342R,TASKI SWINGO 755B AUTOSCRUB,N/A,O Non Stock Inactive,5594143,N/A,1,10781 DIVERSEY INC,N/A,Noel Marucut,3333.47,3333.47
123745,885814,S50 AUTONOMOUS SCRUBBER MID-SIZE,N/A,O Non Stock Inactive,S50,N/A,1,SOFTBANK ROBOTICS AMERICA INC.,N/A,Noel Marucut,35000,35000.00
90622,887030,56383408 VL500-75 ERGO WET DRYWET/DRY VACUUM,N/A,O Non Stock Inactive,56383408,N/A,1,NILFISK INC,N/A,Noel Marucut,656.4,656.40
97818,900057,7375 RUBBER KNEE PADS 1PR/CS0,N/A,O Non Stock Inactive,7375,N/A,10,4190 HOSPECO,N/A,Noel Marucut,13.43,134.30
130724,913377,WHIZ AUTONOMOUS VAC SWEEPER,N/A,O Non Stock Inactive,0,N/A,1,SOFTBANK ROBOTICS AMERICA INC.,N/A,Noel Marucut,23290,23290.00
121968,913431,TMMP446016 S1 16" MOPS 500/CS MICROFIBER SINGLE USE S/O,N/A,O Non Stock Inactive,TMMP446016,N/A,1,12039 UNIMED CORP.,N/A,Noel Marucut,80.19,80.19
122394,913499,92682-00 FASTDRAW PRO DISPENSR ACTION GAP,N/A,O Non Stock Inactive,9268200,N/A,5,1065 BETCO CORPORATION,N/A,Noel Marucut,N/A,0.00
122776,913514,V1640CC-32 32OZ PET CLEAR CUP VINTAGE 300/CASE 2140,N/A,O Non Stock Inactive,2140 / V1640CC-32,N/A,3,3370 FORMAN INC,N/A,Noel Marucut,61.24,183.72
99572,916548,B-165 4836 MIRROR 48X36 SS,N/A,N Stock Active,B-165 4836,N/A,5,1190 BOBRICK WASHROOM EQUIPMENT INC,N/A,Noel Marucut,137.66,688.30
99573,932436,B293-2436 TILT MIRROR,N/A,N Stock Active,B293-2436,N/A,6,1190 BOBRICK WASHROOM EQUIPMENT INC,N/A,Noel Marucut,181.26,1087.56
104479,932581,29354 51" HANDLE RED ALUMINUM,N/A,O Non Stock Inactive,29354,N/A,1,10037 REMCO PRODUCTS,N/A,Noel Marucut,14.88,14.88
117495,932585,TRAY F/DELTA HAMPER  SILVER EA P190975N  S/O,N/A,O Non Stock Inactive,P190975N,N/A,10,3206 FILMOP USA LLC,N/A,Noel Marucut,14.85,148.50
130591,951113,50205-4 CASTERS RUBBER TIRES SET OF 4 5" SWIVEL W/BRAKES,N/A,O Non Stock Inactive,50205-4,N/A,3,2170 AMERICAN PLASTICS,N/A,Noel Marucut,186.95,560.85
99574,962436,B-165 2436 MIRROR S/S,N/A,N Stock Active,B-165 2436,N/A,6,1190 BOBRICK WASHROOM EQUIPMENT INC,N/A,Noel Marucut,48.59,291.54
93191,985003,7200 DRUM WRENCH   EA0,N/A,O Non Stock Inactive,7200,N/A,10,4190 HOSPECO,N/A,Noel Marucut,15.22,152.20
102434,985691,7745-GPH-18 DRIP TRAY GRAPHITE S/O,N/A,O Non Stock Inactive,7745-GPH-18,N/A,1,GOJO INDUSTRIES INC.,N/A,Noel Marucut,4.1,4.10
122638,985782,SUPERCOURT FLR CARE SYSTEM 60" WM710013471,N/A,O Non Stock Inactive,WM710013471,N/A,1,10781 DIVERSEY INC,N/A,Noel Marucut,134.76,134.76
87072,985952,92021031 APPLICATOR PADS 5/CSPHAZER,N/A,O Non Stock Inactive,92021031,N/A,2,2830 ECOLAB INC.,N/A,Noel Marucut,30.19,60.38
93225,985965,1103 BLACK SANITARY RECEPTA0,N/A,O Non Stock Inactive,1103 BLACK,N/A,3,4190 HOSPECO,N/A,Noel Marucut,16.63,49.89
109960,986128,9W27-73 50GL ROLLOUT CONTAINER RECYCLING S/O,N/A,O Non Stock Inactive,FG9W2773BLUE,N/A,2,NEWELL BRANDS DISTRIBUTION LLC,N/A,Noel Marucut,81.32,162.64
93233,986193,# SC889 VACUUM 6.5AMP  EASANITAIRE,N/A,O Non Stock Inactive,SC889,N/A,1,2991 ELECTROLUX HOME CARE PRODUCTS,N/A,Noel Marucut,191.1,191.10
100357,986201,CLO14882CT TOILET WAND REFILL 48/CS,N/A,O Non Stock Inactive,CLO14882CT,N/A,2,S.P. RICHARDS COMPANY,N/A,Noel Marucut,22.56,45.12
93238,986269,7353 BLOOD CLEANUP KIT  EA0,N/A,O Non Stock Inactive,7353,N/A,3,4190 HOSPECO,N/A,Noel Marucut,11.87,35.61
93246,986437,2X3 522 TUFF SPUN  EABLACK WEAR BONDED,N/A,O Non Stock Inactive,WB 0023KP,N/A,9,6470 LUDLOW COMPOSITES CORPORATION,N/A,Noel Marucut,21.17,190.53
87092,986442,PERSONAL DISPOSABLE BAG 1MF/SANITARY NAPKIN **,N/A,O Non Stock Inactive,25123298,N/A,1,4190 HOSPECO,N/A,Noel Marucut,27.37,27.37
127139,986607,55-14 14" GREEN SCRUB PAD 5/CS S/O,N/A,O Non Stock Inactive,55-14,N/A,4,11834 ACS CLEANING PRODUCTS GROUP,N/A,Noel Marucut,8.03,32.12
93253,986624,LBH18BPK PROPACK SYSTEM KI0,N/A,O Non Stock Inactive,LBH18BPK,N/A,2,4190 HOSPECO,N/A,Noel Marucut,79.34,158.68
